轮次,合同设计,发布者效用
211,"[46, 43, 39, 37, 37, 36.159, 34.401, 31.889, 30.525, 30.525]",425.459
212,"[47, 43, 39, 37, 37, 36.745, 34.401, 31.889, 30.525, 30.525]",425.459
213,"[48, 43, 39, 37, 37, 37.331, 34.401, 31.889, 30.525, 30.525]",425.449
214,"[49, 43, 39, 37, 37, 37.917, 34.401, 31.889, 30.525, 30.525]",425.431
215,"[44, 44, 39, 37, 37, 35.029, 35.029, 31.889, 30.525, 30.525]",425.444
216,"[45, 44, 39, 37, 37, 35.615, 35.029, 31.889, 30.525, 30.525]",425.466
217,"[46, 44, 39, 37, 37, 36.201, 35.029, 31.889, 30.525, 30.525]",425.477
218,"[47, 44, 39, 37, 37, 36.787, 35.029, 31.889, 30.525, 30.525]",425.477
219,"[48, 44, 39, 37, 37, 37.373, 35.029, 31.889, 30.525, 30.525]",425.467
220,"[49, 44, 39, 37, 37, 37.959, 35.029, 31.889, 30.525, 30.525]",425.448
221,"[45, 45, 39, 37, 37, 35.657, 35.657, 31.889, 30.525, 30.525]",425.471
222,"[46, 45, 39, 37, 37, 36.243, 35.657, 31.889, 30.525, 30.525]",425.482
223,"[47, 45, 39, 37, 37, 36.829, 35.657, 31.889, 30.525, 30.525]",425.482
224,"[48, 45, 39, 37, 37, 37.415, 35.657, 31.889, 30.525, 30.525]",425.472
225,"[49, 45, 39, 37, 37, 38.001, 35.657, 31.889, 30.525, 30.525]",425.453
226,"[46, 46, 39, 37, 37, 36.285, 36.285, 31.889, 30.525, 30.525]",425.475
227,"[47, 46, 39, 37, 37, 36.871, 36.285, 31.889, 30.525, 30.525]",425.475
228,"[48, 46, 39, 37, 37, 37.457, 36.285, 31.889, 30.525, 30.525]",425.466
229,"[49, 46, 39, 37, 37, 38.043, 36.285, 31.889, 30.525, 30.525]",425.447
230,"[47, 47, 39, 37, 37, 36.913, 36.913, 31.889, 30.525, 30.525]",425.458
231,"[48, 47, 39, 37, 37, 37.499, 36.913, 31.889, 30.525, 30.525]",425.449
232,"[49, 47, 39, 37, 37, 38.085, 36.913, 31.889, 30.525, 30.525]",425.43
233,"[48, 48, 39, 37, 37, 37.541, 37.541, 31.889, 30.525, 30.525]",425.422
234,"[49, 48, 39, 37, 37, 38.127, 37.541, 31.889, 30.525, 30.525]",425.404
235,"[49, 49, 39, 37, 37, 38.169, 38.169, 31.889, 30.525, 30.525]",425.368
236,"[40, 40, 40, 37, 37, 32.571, 32.571, 32.571, 30.525, 30.525]",425.119
237,"[41, 40, 40, 37, 37, 33.157, 32.571, 32.571, 30.525, 30.525]",425.198
238,"[42, 40, 40, 37, 37, 33.743, 32.571, 32.571, 30.525, 30.525]",425.261
239,"[43, 40, 40, 37, 37, 34.329, 32.571, 32.571, 30.525, 30.525]",425.309
240,"[44, 40, 40, 37, 37, 34.915, 32.571, 32.571, 30.525, 30.525]",425.343
241,"[45, 40, 40, 37, 37, 35.501, 32.571, 32.571, 30.525, 30.525]",425.365
242,"[46, 40, 40, 37, 37, 36.087, 32.571, 32.571, 30.525, 30.525]",425.376
243,"[47, 40, 40, 37, 37, 36.673, 32.571, 32.571, 30.525, 30.525]",425.376
244,"[48, 40, 40, 37, 37, 37.259, 32.571, 32.571, 30.525, 30.525]",425.366
245,"[49, 40, 40, 37, 37, 37.845, 32.571, 32.571, 30.525, 30.525]",425.347
246,"[41, 41, 40, 37, 37, 33.199, 33.199, 32.571, 30.525, 30.525]",425.26
247,"[42, 41, 40, 37, 37, 33.785, 33.199, 32.571, 30.525, 30.525]",425.323
248,"[43, 41, 40, 37, 37, 34.371, 33.199, 32.571, 30.525, 30.525]",425.371
249,"[44, 41, 40, 37, 37, 34.957, 33.199, 32.571, 30.525, 30.525]",425.406
250,"[45, 41, 40, 37, 37, 35.543, 33.199, 32.571, 30.525, 30.525]",425.427
251,"[46, 41, 40, 37, 37, 36.129, 33.199, 32.571, 30.525, 30.525]",425.438
252,"[47, 41, 40, 37, 37, 36.715, 33.199, 32.571, 30.525, 30.525]",425.438
253,"[48, 41, 40, 37, 37, 37.301, 33.199, 32.571, 30.525, 30.525]",425.428
254,"[49, 41, 40, 37, 37, 37.887, 33.199, 32.571, 30.525, 30.525]",425.41
255,"[42, 42, 40, 37, 37, 33.827, 33.827, 32.571, 30.525, 30.525]",425.369
256,"[43, 42, 40, 37, 37, 34.413, 33.827, 32.571, 30.525, 30.525]",425.417
257,"[44, 42, 40, 37, 37, 34.999, 33.827, 32.571, 30.525, 30.525]",425.452
258,"[45, 42, 40, 37, 37, 35.585, 33.827, 32.571, 30.525, 30.525]",425.473
259,"[46, 42, 40, 37, 37, 36.171, 33.827, 32.571, 30.525, 30.525]",425.484
260,"[47, 42, 40, 37, 37, 36.757, 33.827, 32.571, 30.525, 30.525]",425.484
261,"[48, 42, 40, 37, 37, 37.343, 33.827, 32.571, 30.525, 30.525]",425.474
262,"[49, 42, 40, 37, 37, 37.929, 33.827, 32.571, 30.525, 30.525]",425.456
263,"[43, 43, 40, 37, 37, 34.455, 34.455, 32.571, 30.525, 30.525]",425.448
264,"[44, 43, 40, 37, 37, 35.041, 34.455, 32.571, 30.525, 30.525]",425.483
265,"[45, 43, 40, 37, 37, 35.627, 34.455, 32.571, 30.525, 30.525]",425.504
266,"[46, 43, 40, 37, 37, 36.213, 34.455, 32.571, 30.525, 30.525]",425.515
267,"[47, 43, 40, 37, 37, 36.799, 34.455, 32.571, 30.525, 30.525]",425.515
268,"[48, 43, 40, 37, 37, 37.385, 34.455, 32.571, 30.525, 30.525]",425.505
269,"[49, 43, 40, 37, 37, 37.971, 34.455, 32.571, 30.525, 30.525]",425.487
270,"[44, 44, 40, 37, 37, 35.083, 35.083, 32.571, 30.525, 30.525]",425.5
271,"[45, 44, 40, 37, 37, 35.669, 35.083, 32.571, 30.525, 30.525]",425.522
272,"[46, 44, 40, 37, 37, 36.255, 35.083, 32.571, 30.525, 30.525]",425.532
273,"[47, 44, 40, 37, 37, 36.841, 35.083, 32.571, 30.525, 30.525]",425.532
274,"[48, 44, 40, 37, 37, 37.427, 35.083, 32.571, 30.525, 30.525]",425.523
275,"[49, 44, 40, 37, 37, 38.013, 35.083, 32.571, 30.525, 30.525]",425.504
276,"[45, 45, 40, 37, 37, 35.711, 35.711, 32.571, 30.525, 30.525]",425.527
277,"[46, 45, 40, 37, 37, 36.297, 35.711, 32.571, 30.525, 30.525]",425.538
278,"[47, 45, 40, 37, 37, 36.883, 35.711, 32.571, 30.525, 30.525]",425.537
279,"[48, 45, 40, 37, 37, 37.469, 35.711, 32.571, 30.525, 30.525]",425.528
280,"[49, 45, 40, 37, 37, 38.055, 35.711, 32.571, 30.525, 30.525]",425.509
281,"[46, 46, 40, 37, 37, 36.339, 36.339, 32.571, 30.525, 30.525]",425.531
282,"[47, 46, 40, 37, 37, 36.925, 36.339, 32.571, 30.525, 30.525]",425.531
283,"[48, 46, 40, 37, 37, 37.511, 36.339, 32.571, 30.525, 30.525]",425.521
284,"[49, 46, 40, 37, 37, 38.097, 36.339, 32.571, 30.525, 30.525]",425.503
285,"[47, 47, 40, 37, 37, 36.967, 36.967, 32.571, 30.525, 30.525]",425.514
286,"[48, 47, 40, 37, 37, 37.553, 36.967, 32.571, 30.525, 30.525]",425.504
287,"[49, 47, 40, 37, 37, 38.139, 36.967, 32.571, 30.525, 30.525]",425.486
